timestamp,robot_id,sigma_x,sigma_y,sigma_theta
1763488912.507413,1,0.234711,0.212767,0.174747
1763488912.507413,2,0.207448,0.204407,0.129706
1763488912.507413,3,0.180677,0.157602,0.109760
1763488912.507413,4,0.207003,0.330168,0.161063
1763488912.507413,5,0.212984,0.203139,0.172531
1763488915.507401,1,0.222882,0.229777,0.180898
1763488915.507401,2,0.246774,0.253647,0.145353
1763488915.507401,3,0.243182,0.235484,0.150215
1763488915.507401,4,0.240635,0.397251,0.192017
1763488915.507401,5,0.277919,0.253039,0.222520
1763488918.507116,1,0.509442,0.517090,0.376441
1763488918.507116,2,0.257526,0.281890,0.199882
1763488918.507116,3,0.272644,0.282134,0.186757
1763488918.507116,4,0.274016,0.250066,0.200536
1763488918.507116,5,0.550452,0.538259,0.409281
1763488921.506499,1,0.504675,0.339227,0.260292
1763488921.506499,2,0.231837,0.229086,0.191184
1763488921.506499,3,0.275962,0.359907,0.216156
1763488921.506499,4,0.285309,0.201667,0.170382
1763488921.506499,5,0.718694,0.709206,0.524148
1763488924.506902,1,0.306893,0.179995,0.156946
1763488924.506902,2,0.217650,0.213297,0.180917
1763488924.506902,3,0.366532,0.257861,0.268668
1763488924.506902,4,0.415392,0.245794,0.220580
1763488924.506902,5,0.305597,0.279327,0.626594
1763488927.508325,1,0.396161,0.273416,0.214890
1763488927.508325,2,0.290612,0.319247,0.238683
1763488927.508325,3,0.404711,0.399612,0.212710
1763488927.508325,4,0.418990,0.233106,0.209648
1763488927.508325,5,0.474111,0.454675,0.726622
1763488930.507033,1,0.546308,0.290710,0.251498
1763488930.507033,2,0.328505,0.434930,0.321023
1763488930.507033,3,0.421367,0.416259,0.244471
1763488930.507033,4,0.456025,0.332818,0.313449
1763488930.507033,5,0.411048,0.384942,0.815084
1763488933.507801,1,0.637170,0.377066,0.322794
1763488933.507801,2,0.296479,0.263487,0.197643
1763488933.507801,3,0.401569,0.275511,0.250173
1763488933.507801,4,0.419947,0.330147,0.458756
1763488933.507801,5,0.553373,0.290862,0.222514
1763488936.506925,1,0.461563,0.261353,0.230912
1763488936.506925,2,0.364527,0.283353,0.209992
1763488936.506925,3,0.311825,0.273734,0.165034
1763488936.506925,4,0.318298,0.253882,0.591053
1763488936.506925,5,0.465124,0.152747,0.137724
1763488939.508180,1,0.459575,0.266381,0.226058
1763488939.508180,2,0.472343,0.424289,0.292822
1763488939.508180,3,0.292439,0.263763,0.193254
1763488939.508180,4,0.528017,0.500810,0.697512
1763488939.508180,5,0.431238,0.261617,0.199189
1763488942.509651,1,0.411264,0.283300,0.242116
1763488942.509651,2,0.416755,0.316885,0.214692
1763488942.509651,3,0.245738,0.205782,0.160439
1763488942.509651,4,0.732338,0.717523,0.786144
1763488942.509651,5,0.386092,0.304827,0.202875
1763488945.506119,1,0.425485,0.287906,0.222220
1763488945.506119,2,0.399788,0.338644,0.239887
1763488945.506119,3,0.278502,0.219778,0.202773
1763488945.506119,4,0.875629,0.864051,0.856167
1763488945.506119,5,0.293369,0.204410,0.147204
1763488948.506408,1,0.609780,0.352055,0.263819
1763488948.506408,2,0.559484,0.363443,0.289166
1763488948.506408,3,0.349081,0.305964,0.292513
1763488948.506408,4,1.010386,1.000568,0.926295
1763488948.506408,5,0.377286,0.259958,0.182498
1763488951.508308,1,0.537591,0.339832,0.270580
1763488951.508308,2,0.765446,0.644702,0.474465
1763488951.508308,3,0.596671,0.566042,0.458322
1763488951.508308,4,1.067699,0.338502,0.337930
1763488951.508308,5,0.407289,0.258447,0.196084
1763488954.506497,1,0.489136,0.287137,0.220685
1763488954.506497,2,0.924793,0.832081,0.602592
1763488954.506497,3,0.296280,0.276370,0.224636
1763488954.506497,4,1.127745,0.361250,0.380469
1763488954.506497,5,0.286439,0.218954,0.161721
1763488957.506070,1,0.446558,0.300153,0.227508
1763488957.506070,2,0.764869,0.458682,0.706209
1763488957.506070,3,0.367299,0.249048,0.194209
1763488957.506070,4,1.160409,0.373784,0.439522
1763488957.506070,5,0.359608,0.274171,0.165155
1763488960.506240,1,0.305447,0.252263,0.218674
1763488960.506240,2,0.805469,0.546402,0.796831
1763488960.506240,3,0.365108,0.298934,0.204716
1763488960.506240,4,1.177973,0.399732,0.512448
1763488960.506240,5,0.393005,0.288576,0.187557
1763488963.506956,1,0.325495,0.277904,0.227462
1763488963.506956,2,0.960009,0.751598,0.876322
1763488963.506956,3,0.277649,0.246098,0.187835
1763488963.506956,4,0.558355,0.258815,0.300226
1763488963.506956,5,0.354971,0.253958,0.188796
1763488966.507748,1,0.291978,0.246630,0.224325
1763488966.507748,2,1.097070,0.915151,0.950757
1763488966.507748,3,0.298103,0.323892,0.203805
1763488966.507748,4,0.234960,0.179195,0.184658
1763488966.507748,5,0.293627,0.272931,0.164695
1763488969.507726,1,0.411239,0.383872,0.339283
1763488969.507726,2,1.223142,1.053549,1.019529
1763488969.507726,3,0.381996,0.517769,0.303484
1763488969.507726,4,0.339694,0.324760,0.304788
1763488969.507726,5,0.427880,0.465945,0.248182
1763488972.513451,1,0.362437,0.340939,0.495735
1763488972.513451,2,1.337672,1.171122,1.080944
1763488972.513451,3,0.343922,0.412277,0.274103
1763488972.513451,4,0.378818,0.363226,0.441121
1763488972.513451,5,0.447296,0.421656,0.232488
1763488975.507296,1,0.399208,0.427370,0.606100
1763488975.507296,2,1.455754,1.288693,1.144308
1763488975.507296,3,0.336759,0.356640,0.330002
1763488975.507296,4,0.371501,0.459432,0.551024
1763488975.507296,5,0.327933,0.219142,0.247884
1763488978.510690,1,0.654771,0.652772,0.712595
1763488978.510690,2,1.565081,1.392930,1.201016
1763488978.510690,3,0.375032,0.272311,0.213637
1763488978.510690,4,0.524684,0.529558,0.664080
1763488978.510690,5,0.343570,0.264888,0.190010
1763488981.508047,1,0.593187,0.644203,0.496617
1763488981.508047,2,1.669284,1.493412,1.256161
1763488981.508047,3,0.372549,0.280278,0.235917
1763488981.508047,4,0.452563,0.633655,0.412706
1763488981.508047,5,0.429626,0.287484,0.244240
1763488984.507531,1,0.779193,0.825152,0.619921
1763488984.507531,2,0.478912,0.258599,0.244433
1763488984.507531,3,0.268814,0.217417,0.149646
1763488984.507531,4,0.369707,0.783117,0.311935
1763488984.507531,5,0.393795,0.469475,0.229703
1763488987.507911,1,0.290543,0.259577,0.159345
1763488987.507911,2,0.366736,0.227075,0.180244
1763488987.507911,3,0.277102,0.253261,0.167161
1763488987.507911,4,0.413589,0.873317,0.329269
1763488987.507911,5,0.589600,0.665984,0.376817
1763488990.507248,1,0.243617,0.352674,0.176613
1763488990.507248,2,0.360816,0.263058,0.193113
1763488990.507248,3,0.268658,0.253676,0.198810
1763488990.507248,4,0.523900,0.983565,0.403924
1763488990.507248,5,0.296095,0.265206,0.224254
1763488993.507085,1,0.240103,0.386183,0.174988
1763488993.507085,2,0.305338,0.270115,0.178852
1763488993.507085,3,0.293723,0.199300,0.165172
1763488993.507085,4,0.318024,0.358404,0.170137
1763488993.507085,5,0.255653,0.218559,0.182562
1763488996.508502,1,0.261846,0.404101,0.198909
1763488996.508502,2,0.346658,0.381537,0.190335
1763488996.508502,3,0.288262,0.186054,0.172034
1763488996.508502,4,0.292399,0.397989,0.225309
1763488996.508502,5,0.214049,0.165804,0.120945
1763488999.507755,1,0.286216,0.407366,0.226826
1763488999.507755,2,0.292918,0.356337,0.182197
1763488999.507755,3,0.241989,0.192178,0.143929
1763488999.507755,4,0.233114,0.310451,0.201966
1763488999.507755,5,0.246945,0.299783,0.174073
1763489002.511653,1,0.240113,0.366304,0.230991
1763489002.511653,2,0.267034,0.401232,0.192786
1763489002.511653,3,0.236234,0.182184,0.142371
1763489002.511653,4,0.242505,0.339150,0.182795
1763489002.511653,5,0.238293,0.323983,0.200518
1763489005.509890,1,0.262504,0.265159,0.159948
